Date,Hour,Station_ID,Energy_Consumed,Charging_Sessions,Temperature,Rainfall,Humidity,Weather,Traffic_Level,Latitude,Longitude
2025-01-01,0,NSK_GANGAPUR_RD,29.11,4,4.0,0.0,67,Clear,2,20.015,73.765
2025-01-01,1,NSK_MUMBAI_HWY,31.67,3,7.7,0.0,24,Haze,2,19.954,73.765
2025-01-01,2,NSK_CITY_CENTER,19.7,2,9.7,0.0,34,Clear,1,19.988,73.771
2025-01-01,3,NSK_MUMBAI_HWY,17.6,3,7.1,0.0,31,Cloudy,1,19.954,73.765
2025-01-01,4,NSK_CITY_CENTER,19.03,2,14.5,0.0,20,Clear,1,19.988,73.771
2025-01-01,5,NSK_CITY_CENTER,21.38,2,13.9,0.0,81,Haze,1,19.988,73.771
2025-01-01,6,NSK_MUMBAI_HWY,51.32,4,16.6,0.0,51,Haze,3,19.954,73.765
2025-01-01,7,NSK_GANGAPUR_RD,60.18,5,20.4,0.0,25,Clear,4,20.015,73.765
2025-01-01,8,NSK_MUMBAI_HWY,72.36,7,20.5,0.0,55,Clear,5,19.954,73.765
2025-01-01,9,NSK_GANGAPUR_RD,115.44,10,22.9,0.0,27,Clear,9,20.015,73.765
2025-01-01,10,NSK_GANGAPUR_RD,111.33,9,22.4,0.0,44,Clear,9,20.015,73.765
2025-01-01,11,NSK_ADGAON_NKA,53.06,4,29.0,0.0,36,Clear,3,20.017,73.834
2025-01-01,12,NSK_GANGAPUR_RD,65.73,6,26.6,0.0,64,Sunny,4,20.015,73.765
2025-01-01,13,NSK_ADGAON_NKA,53.86,4,24.6,0.0,25,Cloudy,3,20.017,73.834
2025-01-01,14,NSK_ADGAON_NKA,50.06,5,25.6,0.0,86,Clear,3,20.017,73.834
2025-01-01,15,NSK_ADGAON_NKA,56.16,6,22.6,0.0,34,Sunny,4,20.017,73.834
2025-01-01,16,NSK_ADGAON_NKA,60.6,5,21.7,0.0,30,Clear,4,20.017,73.834
2025-01-01,17,NSK_MUMBAI_HWY,58.67,5,18.7,0.0,59,Sunny,4,19.954,73.765
2025-01-01,18,NSK_MUMBAI_HWY,91.01,7,16.6,0.0,87,Sunny,7,19.954,73.765
2025-01-01,19,NSK_ADGAON_NKA,85.09,6,13.3,0.0,44,Sunny,7,20.017,73.834
2025-01-01,20,NSK_ADGAON_NKA,110.48,8,13.7,0.0,43,Sunny,9,20.017,73.834
2025-01-01,21,NSK_MUMBAI_HWY,43.68,4,8.3,0.0,63,Clear,3,19.954,73.765
2025-01-01,22,NSK_GANGAPUR_RD,40.44,3,9.9,0.0,50,Sunny,3,20.015,73.765
2025-01-01,23,NSK_CITY_CENTER,65.33,6,7.0,0.0,72,Clear,5,19.988,73.771
2025-01-02,0,NSK_MUMBAI_HWY,23.6,1,8.6,0.0,30,Sunny,1,19.954,73.765
2025-01-02,1,NSK_MUMBAI_HWY,8.97,1,4.4,0.0,61,Clear,0,19.954,73.765
2025-01-02,2,NSK_CITY_CENTER,32.36,2,6.1,0.0,59,Haze,2,19.988,73.771
2025-01-02,3,NSK_MUMBAI_HWY,9.55,2,10.6,0.0,31,Clear,0,19.954,73.765
2025-01-02,4,NSK_GANGAPUR_RD,16.55,1,15.0,0.0,37,Sunny,0,20.015,73.765
2025-01-02,5,NSK_ADGAON_NKA,31.22,3,15.0,0.0,89,Haze,2,20.017,73.834
2025-01-02,6,NSK_GANGAPUR_RD,62.77,6,17.3,0.0,39,Clear,4,20.015,73.765
2025-01-02,7,NSK_MUMBAI_HWY,46.19,5,18.1,0.0,52,Clear,3,19.954,73.765
2025-01-02,8,NSK_ADGAON_NKA,73.52,5,23.4,0.0,61,Haze,5,20.017,73.834
2025-01-02,9,NSK_ADGAON_NKA,97.57,7,21.7,0.0,45,Haze,7,20.017,73.834
2025-01-02,10,NSK_MUMBAI_HWY,90.34,8,25.7,0.0,89,Clear,7,19.954,73.765
2025-01-02,11,NSK_CITY_CENTER,45.47,4,22.8,0.0,74,Clear,3,19.988,73.771
2025-01-02,12,NSK_ADGAON_NKA,72.61,5,25.3,0.0,58,Sunny,5,20.017,73.834
2025-01-02,13,NSK_MUMBAI_HWY,62.5,4,23.0,0.0,60,Haze,4,19.954,73.765
2025-01-02,14,NSK_ADGAON_NKA,59.89,4,25.3,0.0,32,Clear,4,20.017,73.834
2025-01-02,15,NSK_GANGAPUR_RD,63.88,6,20.2,0.0,78,Sunny,4,20.015,73.765
2025-01-02,16,NSK_MUMBAI_HWY,55.61,4,21.8,0.0,37,Haze,4,19.954,73.765
2025-01-02,17,NSK_CITY_CENTER,71.91,6,18.5,0.0,55,Clear,5,19.988,73.771
2025-01-02,18,NSK_ADGAON_NKA,98.64,7,19.1,0.0,59,Cloudy,8,20.017,73.834
2025-01-02,19,NSK_MUMBAI_HWY,108.42,9,14.7,0.0,68,Clear,9,19.954,73.765
2025-01-02,20,NSK_CITY_CENTER,101.78,7,10.8,0.0,80,Sunny,8,19.988,73.771
2025-01-02,21,NSK_GANGAPUR_RD,61.03,4,6.7,0.0,28,Clear,5,20.015,73.765
2025-01-02,22,NSK_CITY_CENTER,52.95,3,4.0,0.0,42,Clear,4,19.988,73.771
2025-01-02,23,NSK_CITY_CENTER,44.99,3,8.2,0.0,26,Clear,3,19.988,73.771
2025-01-03,0,NSK_CITY_CENTER,21.81,3,11.0,0.0,61,Haze,1,19.988,73.771
2025-01-03,1,NSK_ADGAON_NKA,17.58,1,8.4,0.0,50,Sunny,1,20.017,73.834
2025-01-03,2,NSK_ADGAON_NKA,7.71,0,9.6,0.0,67,Clear,0,20.017,73.834
2025-01-03,3,NSK_ADGAON_NKA,15.82,1,11.4,0.0,72,Clear,0,20.017,73.834
2025-01-03,4,NSK_GANGAPUR_RD,31.57,2,12.4,0.0,66,Sunny,2,20.015,73.765
